,Tarih,2m Bağıl Nem (%),2m Hava Sıcaklığı (C),2m Rüzgâr Hızı (m/s),Küresel Güneş Radyasyonu (MJ/m2/gün),Toplam Yağış Miktarı (mm)
0,1981-01-01,82.24,1.32,3.5,7.75,174.17
1,1981-02-01,83.43,1.11,2.46,11.2,88.69
2,1981-03-01,76.62,5.94,2.54,15.57,24.21
3,1981-04-01,66.2,8.7,2.03,18.91,26.42
4,1981-05-01,61.53,12.27,2.15,22.75,26.41
5,1981-06-01,52.47,19.13,2.0,20.09,37.54
6,1981-07-01,41.12,22.38,2.27,23.16,6.83
7,1981-08-01,37.1,21.57,2.4,22.98,7.08
8,1981-09-01,31.95,19.63,1.89,19.22,1.79
9,1981-10-01,39.89,15.35,1.73,14.06,11.73
10,1981-11-01,68.8,3.88,2.56,9.39,46.89
11,1981-12-01,80.41,4.36,3.24,7.03,121.38
12,1982-01-01,82.72,0.91,2.25,7.75,125.68
13,1982-02-01,77.98,-0.99,2.06,11.2,51.01
14,1982-03-01,76.13,2.27,2.47,15.57,43.82
15,1982-04-01,71.41,9.64,2.63,18.91,25.4
16,1982-05-01,60.96,14.05,1.87,22.75,39.47
17,1982-06-01,54.3,18.1,1.79,20.09,17.32
18,1982-07-01,46.17,19.86,2.31,23.16,14.03
19,1982-08-01,37.88,20.96,2.25,22.98,9.16
20,1982-09-01,39.98,18.67,1.87,19.22,1.89
21,1982-10-01,58.13,12.05,1.94,14.06,40.13
22,1982-11-01,69.22,3.6,2.38,9.39,21.47
23,1982-12-01,74.44,1.29,2.34,7.03,76.83
24,1983-01-01,80.82,-2.63,2.28,7.75,79.52
25,1983-02-01,79.6,-0.72,2.62,11.2,72.92
26,1983-03-01,77.76,3.68,2.24,15.57,75.22
27,1983-04-01,68.32,9.58,2.16,18.91,32.32
28,1983-05-01,60.6,14.38,1.9,22.75,37.09
29,1983-06-01,52.67,17.76,1.89,20.09,18.64
30,1983-07-01,41.75,21.61,2.53,23.16,0.44
31,1983-08-01,37.55,20.57,2.23,22.98,4.91
32,1983-09-01,33.81,18.35,1.86,19.22,3.75
33,1983-10-01,58.2,11.24,2.03,14.06,28.36
34,1983-11-01,74.35,7.56,2.38,9.39,84.13
35,1983-12-01,79.35,2.97,1.9,7.03,46.28
36,1984-01-01,84.14,1.94,2.25,7.33,90.4
37,1984-02-01,74.28,3.39,2.16,12.8,46.27
38,1984-03-01,73.09,5.36,2.78,14.45,32.37
39,1984-04-01,70.11,8.11,2.52,17.13,67.66
40,1984-05-01,55.73,15.28,1.97,22.75,12.03
41,1984-06-01,46.14,18.86,2.32,26.93,4.22
42,1984-07-01,36.79,21.62,2.78,25.72,2.04
43,1984-08-01,38.73,19.35,2.44,23.95,9.61
44,1984-09-01,30.22,19.8,1.68,19.44,0.05
45,1984-10-01,34.76,14.06,1.67,13.31,0.88
46,1984-11-01,75.84,5.82,1.91,8.7,94.85
47,1984-12-01,78.37,-0.15,1.45,7.32,39.68
48,1985-01-01,82.98,2.35,2.54,7.68,101.63
49,1985-02-01,79.93,-2.53,3.43,8.5,51.73
50,1985-03-01,70.46,4.2,2.11,15.0,52.24
51,1985-04-01,65.72,10.34,2.25,18.89,27.81
52,1985-05-01,58.56,15.89,2.03,21.23,36.2
53,1985-06-01,45.6,19.4,1.97,27.77,8.72
54,1985-07-01,35.69,20.18,2.65,24.95,2.27
55,1985-08-01,28.77,24.06,2.0,25.27,0.12
56,1985-09-01,32.69,18.26,1.91,19.97,3.03
57,1985-10-01,58.47,9.97,1.97,12.32,79.41
58,1985-11-01,70.11,8.7,2.14,7.74,80.45
59,1985-12-01,79.79,1.63,1.93,7.06,35.37
60,1986-01-01,80.52,1.28,2.63,8.64,73.35
61,1986-02-01,81.74,2.27,2.45,10.84,63.14
62,1986-03-01,68.93,6.25,1.55,16.44,12.92
63,1986-04-01,59.25,11.82,1.99,20.11,18.9
64,1986-05-01,64.9,11.62,1.76,20.11,50.03
65,1986-06-01,50.82,18.47,1.97,24.17,10.16
66,1986-07-01,32.38,23.44,2.12,27.43,0.01
67,1986-08-01,28.91,24.64,2.04,25.59,0.14
68,1986-09-01,40.09,20.51,1.96,19.01,11.59
69,1986-10-01,53.36,12.95,2.01,13.31,22.48
70,1986-11-01,71.25,3.79,1.72,9.49,42.91
71,1986-12-01,75.89,1.2,2.43,7.34,74.84
72,1987-01-01,77.86,1.99,2.99,6.98,81.22
