Date,2m Air Temperature (°C),2m Relative Humidity (%),2m Wind Speed (m/s),Global Solar Radiation (MJ/m2/day),Total Precipitation (mm),Tmax_at 2 Meters(°C),Tmin_at 2 Meters(°C)
2019-02-01,2.55,77.79,2.01,11.65,51.58,17.64,2.52
2019-03-01,4.43,73.89,1.96,16.93,40.88,22.47,0.98
2019-04-01,8.39,72.76,1.86,18.78,40.62,27.72,6.19
2019-05-01,16.38,57.26,2.03,25.52,7.38,40.03,10.09
2019-06-01,20.68,56.55,1.71,26.25,28.28,40.4,18.05
2019-07-01,22.13,42.71,2.32,28.74,5.78,39.62,20.7
2019-08-01,22.98,41.06,2.37,24.94,8.21,42.27,22.52
2019-09-01,19.22,40.04,1.92,20.65,7.09,39.05,16.75
2019-10-01,15.52,51.0,1.52,15.16,13.5,36.2,14.01
2019-11-01,9.65,56.03,1.68,10.63,25.82,28.48,8.82
2019-12-01,2.96,75.93,1.95,6.47,100.83,20.71,5.06
2020-01-01,-0.94,83.5,2.14,7.31,73.66,14.48,0.05
2020-02-01,1.58,79.43,2.76,10.86,50.24,17.7,-3.45
2020-03-01,5.99,72.75,2.4,14.65,44.06,22.7,2.08
2020-04-01,9.54,66.12,1.77,20.08,24.51,26.69,6.45
2020-05-01,15.1,55.77,2.37,26.48,30.55,40.32,11.49
2020-06-01,19.62,49.39,1.91,28.59,12.71,38.86,14.73
2020-07-01,25.12,33.57,2.2,29.87,1.16,43.28,21.85
2020-08-01,23.39,27.42,2.3,26.85,0.19,42.61,23.29
2020-09-01,23.07,35.59,1.71,21.43,4.48,44.47,21.84
2020-10-01,17.63,38.54,1.89,16.17,1.78,38.0,16.71
2020-11-01,5.72,66.86,1.42,10.19,35.75,26.6,7.04
2020-12-01,3.65,74.05,1.66,8.14,29.33,20.02,3.32
2021-01-01,2.61,72.39,2.58,8.26,61.83,20.07,-1.67
2021-02-01,2.23,68.48,2.26,12.91,16.53,20.92,-1.45
2021-03-01,3.78,67.07,2.46,15.47,49.27,21.93,2.55
2021-04-01,10.62,58.67,2.51,19.17,23.31,33.03,5.81
2021-05-01,17.64,47.58,2.19,27.37,2.04,37.28,14.02
2021-06-01,19.44,46.86,2.05,28.3,19.93,41.44,17.36
2021-07-01,23.86,38.62,2.46,29.13,8.63,42.15,22.62
2021-08-01,23.27,35.98,2.3,25.59,6.74,43.93,23.19
2021-09-01,17.59,49.41,1.88,20.36,25.61,36.86,15.49
2021-10-01,12.36,46.4,1.67,16.39,1.16,33.75,13.91
2021-11-01,8.44,65.43,2.02,10.55,28.21,29.62,7.93
2021-12-01,2.19,76.4,2.22,7.83,72.92,19.99,-1.82
2022-01-01,-2.01,83.49,2.5,7.75,93.21,17.23,-2.55
2022-02-01,1.7,78.73,2.36,11.36,50.08,19.51,0.83
2022-03-01,-0.29,76.88,2.5,13.75,45.82,21.61,-2.14
2022-04-01,11.76,55.75,2.51,22.6,21.32,32.14,4.45
2022-05-01,14.51,58.81,1.9,24.2,29.38,37.0,11.56
2022-06-01,20.09,55.44,1.99,26.75,20.57,38.98,19.46
2022-07-01,22.43,39.02,2.71,29.63,1.25,42.49,22.84
2022-08-01,26.36,32.26,1.98,25.49,0.35,40.61,21.84
2022-09-01,20.61,37.09,1.96,21.79,11.81,39.25,16.6
2022-10-01,13.62,55.97,1.49,14.56,13.69,39.14,14.44
2022-11-01,8.06,67.42,1.75,10.68,26.65,29.16,8.68
2022-12-01,4.69,74.85,1.58,7.59,17.4,22.21,5.27
2023-01-01,2.17,67.86,1.65,9.63,12.94,18.85,2.11
2023-02-01,-0.56,71.44,2.0,11.56,24.05,26.74,-0.79
2023-03-01,6.87,65.99,2.48,15.27,53.69,25.88,2.84
2023-04-01,10.1,61.83,2.42,20.07,36.11,30.74,4.74
2023-05-01,15.02,57.64,1.81,22.91,50.58,34.37,9.49
2023-06-01,19.11,60.81,1.85,25.64,49.1,39.07,17.41
2023-07-01,23.21,40.28,2.5,29.04,3.43,44.91,21.48
2023-08-01,27.49,26.41,1.84,26.04,1.78,46.14,24.46
2023-09-01,20.59,35.0,1.86,21.26,4.38,38.44,20.48
2023-10-01,15.11,53.63,1.58,15.24,23.9,32.43,16.23
2023-11-01,10.08,64.94,2.56,10.17,38.15,30.57,3.32
2023-12-01,5.56,75.82,1.8,8.95,52.27,21.96,5.31
2024-01-01,2.55,82.13,2.24,7.37,59.85,20.36,2.06
2024-02-01,4.47,72.75,1.73,12.6,25.1,21.4,2.54
2024-03-01,6.59,64.88,1.95,16.92,28.21,29.0,5.4
2024-04-01,14.27,58.04,2.21,20.78,17.39,35.07,11.82
2024-05-01,15.24,60.18,1.94,23.73,42.53,35.51,11.27
2024-06-01,24.66,38.17,2.24,29.99,3.33,44.27,17.47
2024-07-01,25.48,39.3,2.57,27.8,8.93,43.27,23.48
2024-08-01,25.68,34.59,1.95,25.4,7.38,42.63,25.37
2024-09-01,20.73,47.7,1.63,20.44,19.31,39.01,17.71
2024-10-01,13.27,48.98,1.77,16.74,0.13,34.71,11.43
2024-11-01,6.09,66.25,1.79,10.17,38.46,28.23,2.92
2024-12-01,3.43,79.63,2.03,7.37,81.13,19.14,1.79
2025-01-01,3.45,74.68,1.37,10.16,4.16,19.28,4.14
2025-02-01,-1.24,73.41,2.46,11.2,26.08,19.76,-4.18
2025-03-01,8.13,60.09,2.16,17.2,21.44,29.93,3.07
2025-04-01,9.94,62.17,2.31,21.6,29.23,32.97,3.01
2025-05-01,16.62,53.24,1.97,24.92,27.88,37.27,12.17
2025-06-01,21.04,37.59,2.42,29.81,3.24,42.54,17.78
2025-07-01,26.42,30.49,2.15,23.16,5.18,45.68,21.44
2025-08-01,26.03,31.23,2.09,22.98,1.9,47.23,24.61
2025-09-01,19.84,39.16,2.13,19.22,3.19,39.93,19.42
2025-10-01,14.06,14.06,14.06,14.06,14.06,33.35,12.09
2025-11-01,9.39,9.39,9.39,9.39,9.39,10.84,10.84
2025-12-01,7.03,7.03,7.03,7.03,7.03,5.57,5.57
